Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,23804,2021,1,1,0,,N
IDCJAC0009,23804,2021,1,2,0,,N
IDCJAC0009,23804,2021,1,3,0,,N
IDCJAC0009,23804,2021,1,4,0,1,N
IDCJAC0009,23804,2021,1,5,0.4,1,N
IDCJAC0009,23804,2021,1,6,0.2,1,N
IDCJAC0009,23804,2021,1,7,0,,N
IDCJAC0009,23804,2021,1,8,0,,N
IDCJAC0009,23804,2021,1,9,0,,N
IDCJAC0009,23804,2021,1,10,0,,N
IDCJAC0009,23804,2021,1,11,0,,N
IDCJAC0009,23804,2021,1,12,0,,N
IDCJAC0009,23804,2021,1,13,0,1,N
IDCJAC0009,23804,2021,1,14,0,,N
IDCJAC0009,23804,2021,1,15,1.2,1,N
IDCJAC0009,23804,2021,1,16,0,,N
IDCJAC0009,23804,2021,1,17,1,1,N
IDCJAC0009,23804,2021,1,18,0.8,1,N
IDCJAC0009,23804,2021,1,19,0.6,1,N
IDCJAC0009,23804,2021,1,20,0,1,N
IDCJAC0009,23804,2021,1,21,0,,N
IDCJAC0009,23804,2021,1,22,0,1,N
IDCJAC0009,23804,2021,1,23,0,,N
IDCJAC0009,23804,2021,1,24,0,,N
IDCJAC0009,23804,2021,1,25,0.4,1,N
IDCJAC0009,23804,2021,1,26,0,,
IDCJAC0009,23804,2021,1,27,10.2,2,N
IDCJAC0009,23804,2021,1,28,0,,N
IDCJAC0009,23804,2021,1,29,0.4,1,N
IDCJAC0009,23804,2021,1,30,0,,N
IDCJAC0009,23804,2021,1,31,0,,N
IDCJAC0009,23804,2021,2,1,0,,N
IDCJAC0009,23804,2021,2,2,0,,N
IDCJAC0009,23804,2021,2,3,0,,N
IDCJAC0009,23804,2021,2,4,0,,N
IDCJAC0009,23804,2021,2,5,11.2,1,N
IDCJAC0009,23804,2021,2,6,15.6,1,N
IDCJAC0009,23804,2021,2,7,1.6,1,N
IDCJAC0009,23804,2021,2,8,0,1,N
IDCJAC0009,23804,2021,2,9,0,,N
IDCJAC0009,23804,2021,2,10,0,1,N
IDCJAC0009,23804,2021,2,11,0,,N
IDCJAC0009,23804,2021,2,12,2,1,N
IDCJAC0009,23804,2021,2,13,1.2,1,N
IDCJAC0009,23804,2021,2,14,0.2,1,N
IDCJAC0009,23804,2021,2,15,0,,N
IDCJAC0009,23804,2021,2,16,0,1,N
IDCJAC0009,23804,2021,2,17,0,,N
IDCJAC0009,23804,2021,2,18,0,,N
IDCJAC0009,23804,2021,2,19,0,,N
IDCJAC0009,23804,2021,2,20,0,1,N
IDCJAC0009,23804,2021,2,21,0,,N
IDCJAC0009,23804,2021,2,22,0,,N
IDCJAC0009,23804,2021,2,23,0,,N
IDCJAC0009,23804,2021,2,24,0,,N
IDCJAC0009,23804,2021,2,25,0,,N
IDCJAC0009,23804,2021,2,26,3.4,1,N
IDCJAC0009,23804,2021,2,27,0,1,N
IDCJAC0009,23804,2021,2,28,0,,N
IDCJAC0009,23804,2021,3,1,0,,Y
IDCJAC0009,23804,2021,3,2,0,,Y
IDCJAC0009,23804,2021,3,3,0,,Y
IDCJAC0009,23804,2021,3,4,0,,Y
IDCJAC0009,23804,2021,3,5,0,1,Y
IDCJAC0009,23804,2021,3,6,0,,Y
IDCJAC0009,23804,2021,3,7,0.4,1,Y
IDCJAC0009,23804,2021,3,8,0.6,1,Y
IDCJAC0009,23804,2021,3,9,0,1,Y
IDCJAC0009,23804,2021,3,10,0,,Y
IDCJAC0009,23804,2021,3,11,2.8,1,Y
IDCJAC0009,23804,2021,3,12,0,1,Y
IDCJAC0009,23804,2021,3,13,1,1,Y
IDCJAC0009,23804,2021,3,14,3.4,1,Y
IDCJAC0009,23804,2021,3,15,0,1,Y
IDCJAC0009,23804,2021,3,16,0.8,1,Y
IDCJAC0009,23804,2021,3,17,0.2,1,Y
IDCJAC0009,23804,2021,3,18,0,1,Y
IDCJAC0009,23804,2021,3,19,0,,Y
IDCJAC0009,23804,2021,3,20,0,,Y
IDCJAC0009,23804,2021,3,21,0,,Y
IDCJAC0009,23804,2021,3,22,0,1,Y
IDCJAC0009,23804,2021,3,23,0,,Y
IDCJAC0009,23804,2021,3,24,0.2,1,Y
IDCJAC0009,23804,2021,3,25,6.4,1,Y
IDCJAC0009,23804,2021,3,26,0,1,Y
IDCJAC0009,23804,2021,3,27,0,1,Y
IDCJAC0009,23804,2021,3,28,0,1,Y
IDCJAC0009,23804,2021,3,29,0,1,Y
IDCJAC0009,23804,2021,3,30,0,1,Y
