Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,23804,2022,1,1,0,,Y
IDCJAC0009,23804,2022,1,2,0,,Y
IDCJAC0009,23804,2022,1,3,0,,Y
IDCJAC0009,23804,2022,1,4,0,,Y
IDCJAC0009,23804,2022,1,5,0,,Y
IDCJAC0009,23804,2022,1,6,1.6,1,Y
IDCJAC0009,23804,2022,1,7,3,1,Y
IDCJAC0009,23804,2022,1,8,2,1,Y
IDCJAC0009,23804,2022,1,9,0,,Y
IDCJAC0009,23804,2022,1,10,0,,Y
IDCJAC0009,23804,2022,1,11,0,,Y
IDCJAC0009,23804,2022,1,12,0,,Y
IDCJAC0009,23804,2022,1,13,0,,Y
IDCJAC0009,23804,2022,1,14,0,,Y
IDCJAC0009,23804,2022,1,15,0,,Y
IDCJAC0009,23804,2022,1,16,0,,Y
IDCJAC0009,23804,2022,1,17,0,,Y
IDCJAC0009,23804,2022,1,18,0,,Y
IDCJAC0009,23804,2022,1,19,0,,Y
IDCJAC0009,23804,2022,1,20,0,,Y
IDCJAC0009,23804,2022,1,21,0,,Y
IDCJAC0009,23804,2022,1,22,0,,Y
IDCJAC0009,23804,2022,1,23,4.8,1,Y
IDCJAC0009,23804,2022,1,24,33.2,1,Y
IDCJAC0009,23804,2022,1,25,1.4,1,Y
IDCJAC0009,23804,2022,1,26,0,,Y
IDCJAC0009,23804,2022,1,27,0,,Y
IDCJAC0009,23804,2022,1,28,0,,Y
IDCJAC0009,23804,2022,1,29,0,,Y
IDCJAC0009,23804,2022,1,30,0,,Y
IDCJAC0009,23804,2022,1,31,0,,Y
IDCJAC0009,23804,2022,2,1,0,,Y
IDCJAC0009,23804,2022,2,2,0,,Y
IDCJAC0009,23804,2022,2,3,0,,
IDCJAC0009,23804,2022,2,4,0,,
IDCJAC0009,23804,2022,2,5,0,,
IDCJAC0009,23804,2022,2,6,0,,
IDCJAC0009,23804,2022,2,7,0.6,5,Y
IDCJAC0009,23804,2022,2,8,0,,Y
IDCJAC0009,23804,2022,2,9,0.8,1,Y
IDCJAC0009,23804,2022,2,10,0,,Y
IDCJAC0009,23804,2022,2,11,0,,Y
IDCJAC0009,23804,2022,2,12,0,,Y
IDCJAC0009,23804,2022,2,13,0,,Y
IDCJAC0009,23804,2022,2,14,0,,Y
IDCJAC0009,23804,2022,2,15,0,,Y
IDCJAC0009,23804,2022,2,16,1.4,1,Y
IDCJAC0009,23804,2022,2,17,4,1,Y
IDCJAC0009,23804,2022,2,18,0.2,1,Y
IDCJAC0009,23804,2022,2,19,0,,Y
IDCJAC0009,23804,2022,2,20,0,,Y
IDCJAC0009,23804,2022,2,21,0.4,1,Y
IDCJAC0009,23804,2022,2,22,0,,Y
