Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,23804,2024,1,1,0,,Y
IDCJAC0009,23804,2024,1,2,0,,Y
IDCJAC0009,23804,2024,1,3,0,,Y
IDCJAC0009,23804,2024,1,4,0.2,1,Y
IDCJAC0009,23804,2024,1,5,0.2,1,Y
IDCJAC0009,23804,2024,1,6,0,,Y
IDCJAC0009,23804,2024,1,7,8.4,1,Y
IDCJAC0009,23804,2024,1,8,33,1,Y
IDCJAC0009,23804,2024,1,9,0,,Y
IDCJAC0009,23804,2024,1,10,0,,Y
IDCJAC0009,23804,2024,1,11,0,,Y
IDCJAC0009,23804,2024,1,12,0,1,Y
IDCJAC0009,23804,2024,1,13,0,,Y
IDCJAC0009,23804,2024,1,14,0,,Y
IDCJAC0009,23804,2024,1,15,0,,Y
IDCJAC0009,23804,2024,1,16,0,,Y
IDCJAC0009,23804,2024,1,17,2.6,1,Y
IDCJAC0009,23804,2024,1,18,0,,Y
IDCJAC0009,23804,2024,1,19,0,,Y
IDCJAC0009,23804,2024,1,20,0,,Y
IDCJAC0009,23804,2024,1,21,0,,Y
IDCJAC0009,23804,2024,1,22,0,,Y
IDCJAC0009,23804,2024,1,23,0,,Y
IDCJAC0009,23804,2024,1,24,1.6,1,Y
IDCJAC0009,23804,2024,1,25,0,,Y
IDCJAC0009,23804,2024,1,26,6,1,Y
IDCJAC0009,23804,2024,1,27,0,1,Y
IDCJAC0009,23804,2024,1,28,0,,Y
IDCJAC0009,23804,2024,1,29,0,1,Y
IDCJAC0009,23804,2024,1,30,0,,Y
IDCJAC0009,23804,2024,1,31,0,,Y
IDCJAC0009,23804,2024,2,1,0,,Y
IDCJAC0009,23804,2024,2,2,0.2,1,Y
IDCJAC0009,23804,2024,2,3,0.2,1,Y
IDCJAC0009,23804,2024,2,4,0,1,Y
IDCJAC0009,23804,2024,2,5,0,,Y
IDCJAC0009,23804,2024,2,6,0,,Y
IDCJAC0009,23804,2024,2,7,0,,Y
IDCJAC0009,23804,2024,2,8,0,,Y
IDCJAC0009,23804,2024,2,9,0,,Y
IDCJAC0009,23804,2024,2,10,0,,Y
IDCJAC0009,23804,2024,2,11,0,,Y
IDCJAC0009,23804,2024,2,12,0,,Y
IDCJAC0009,23804,2024,2,13,0,,Y
IDCJAC0009,23804,2024,2,14,0,,Y
IDCJAC0009,23804,2024,2,15,0,,Y
IDCJAC0009,23804,2024,2,16,0,,Y
IDCJAC0009,23804,2024,2,17,0,,Y
IDCJAC0009,23804,2024,2,18,0,1,Y
IDCJAC0009,23804,2024,2,19,0,,Y
