Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,23804,2023,1,1,0,,Y
IDCJAC0009,23804,2023,1,2,0,,Y
IDCJAC0009,23804,2023,1,3,0,,Y
IDCJAC0009,23804,2023,1,4,0,,Y
IDCJAC0009,23804,2023,1,5,0,,Y
IDCJAC0009,23804,2023,1,6,0,,Y
IDCJAC0009,23804,2023,1,7,0,,Y
IDCJAC0009,23804,2023,1,8,0,,Y
IDCJAC0009,23804,2023,1,9,0,,Y
IDCJAC0009,23804,2023,1,10,0,,Y
IDCJAC0009,23804,2023,1,11,0,,Y
IDCJAC0009,23804,2023,1,12,0,,Y
IDCJAC0009,23804,2023,1,13,0,1,Y
IDCJAC0009,23804,2023,1,14,0,,Y
IDCJAC0009,23804,2023,1,15,0,,Y
IDCJAC0009,23804,2023,1,16,0,,Y
IDCJAC0009,23804,2023,1,17,0,,Y
IDCJAC0009,23804,2023,1,18,5.6,1,Y
IDCJAC0009,23804,2023,1,19,0.6,1,Y
IDCJAC0009,23804,2023,1,20,0,,Y
IDCJAC0009,23804,2023,1,21,0,,Y
IDCJAC0009,23804,2023,1,22,0,,Y
IDCJAC0009,23804,2023,1,23,0,,Y
IDCJAC0009,23804,2023,1,24,0.6,1,Y
IDCJAC0009,23804,2023,1,25,0,,Y
IDCJAC0009,23804,2023,1,26,0,,Y
IDCJAC0009,23804,2023,1,27,0,,Y
IDCJAC0009,23804,2023,1,28,0,,Y
IDCJAC0009,23804,2023,1,29,4.2,1,Y
IDCJAC0009,23804,2023,1,30,0.2,1,Y
IDCJAC0009,23804,2023,1,31,0,,Y
IDCJAC0009,23804,2023,2,1,0,,Y
IDCJAC0009,23804,2023,2,2,2.8,1,Y
IDCJAC0009,23804,2023,2,3,6.6,1,Y
IDCJAC0009,23804,2023,2,4,4.4,1,Y
IDCJAC0009,23804,2023,2,5,0,,Y
IDCJAC0009,23804,2023,2,6,0,,Y
IDCJAC0009,23804,2023,2,7,0,,Y
IDCJAC0009,23804,2023,2,8,0,1,Y
IDCJAC0009,23804,2023,2,9,0,,Y
IDCJAC0009,23804,2023,2,10,0,,Y
IDCJAC0009,23804,2023,2,11,0,,Y
IDCJAC0009,23804,2023,2,12,0.2,1,Y
IDCJAC0009,23804,2023,2,13,0,,Y
IDCJAC0009,23804,2023,2,14,0,,Y
IDCJAC0009,23804,2023,2,15,0,,Y
IDCJAC0009,23804,2023,2,16,0,,Y
IDCJAC0009,23804,2023,2,17,0,,Y
IDCJAC0009,23804,2023,2,18,0,,Y
IDCJAC0009,23804,2023,2,19,0,,Y
IDCJAC0009,23804,2023,2,20,0,,Y
IDCJAC0009,23804,2023,2,21,0,,Y
IDCJAC0009,23804,2023,2,22,0,,Y
IDCJAC0009,23804,2023,2,23,0,,Y
IDCJAC0009,23804,2023,2,24,0,,Y
IDCJAC0009,23804,2023,2,25,4,1,Y
IDCJAC0009,23804,2023,2,26,0,,Y
IDCJAC0009,23804,2023,2,27,0.6,1,Y
IDCJAC0009,23804,2023,2,28,0,1,Y
IDCJAC0009,23804,2023,3,1,1.2,1,Y
IDCJAC0009,23804,2023,3,2,0,,Y
IDCJAC0009,23804,2023,3,3,0.2,1,Y
IDCJAC0009,23804,2023,3,4,0,,Y
IDCJAC0009,23804,2023,3,5,0,,Y
IDCJAC0009,23804,2023,3,6,6.8,1,Y
IDCJAC0009,23804,2023,3,7,1.2,1,Y
IDCJAC0009,23804,2023,3,8,0.6,1,Y
IDCJAC0009,23804,2023,3,9,2.4,1,Y
IDCJAC0009,23804,2023,3,10,1.4,1,Y
IDCJAC0009,23804,2023,3,11,0,,Y
IDCJAC0009,23804,2023,3,12,0.6,1,Y
IDCJAC0009,23804,2023,3,13,0.4,1,Y
IDCJAC0009,23804,2023,3,14,0,,Y
IDCJAC0009,23804,2023,3,15,0,,Y
IDCJAC0009,23804,2023,3,16,0,1,Y
IDCJAC0009,23804,2023,3,17,0,,Y
IDCJAC0009,23804,2023,3,18,0,,Y
IDCJAC0009,23804,2023,3,19,0,,Y
IDCJAC0009,23804,2023,3,20,0,,Y
IDCJAC0009,23804,2023,3,21,0.4,1,Y
IDCJAC0009,23804,2023,3,22,0.4,1,Y
IDCJAC0009,23804,2023,3,23,0,,Y
IDCJAC0009,23804,2023,3,24,0,,Y
IDCJAC0009,23804,2023,3,25,0,,Y
IDCJAC0009,23804,2023,3,26,2,1,Y
IDCJAC0009,23804,2023,3,27,11.8,1,Y
IDCJAC0009,23804,2023,3,28,0,1,Y
IDCJAC0009,23804,2023,3,29,3.6,1,Y
IDCJAC0009,23804,2023,3,30,0.6,1,Y
IDCJAC0009,23804,2023,3,31,0.8,1,Y
IDCJAC0009,23804,2023,4,1,2.2,1,N
IDCJAC0009,23804,2023,4,2,2,1,N
IDCJAC0009,23804,2023,4,3,0,,N
IDCJAC0009,23804,2023,4,4,0,,N
IDCJAC0009,23804,2023,4,5,0,1,N
IDCJAC0009,23804,2023,4,6,0,,N
IDCJAC0009,23804,2023,4,7,0.4,1,N
IDCJAC0009,23804,2023,4,8,2.8,1,N
IDCJAC0009,23804,2023,4,9,2.6,1,N
IDCJAC0009,23804,2023,4,10,2.8,1,N
IDCJAC0009,23804,2023,4,11,0,1,N
IDCJAC0009,23804,2023,4,12,7.2,1,N
IDCJAC0009,23804,2023,4,13,0.4,1,N
IDCJAC0009,23804,2023,4,14,0,1,N
IDCJAC0009,23804,2023,4,15,1,1,N
IDCJAC0009,23804,2023,4,16,9.6,1,N
IDCJAC0009,23804,2023,4,17,0.6,1,N
IDCJAC0009,23804,2023,4,18,0,1,N
IDCJAC0009,23804,2023,4,19,1.4,1,N
IDCJAC0009,23804,2023,4,20,0.4,1,N
IDCJAC0009,23804,2023,4,21,0.4,1,N
IDCJAC0009,23804,2023,4,22,0,1,N
IDCJAC0009,23804,2023,4,23,0,1,N
IDCJAC0009,23804,2023,4,24,0,1,N
IDCJAC0009,23804,2023,4,25,0,1,N
IDCJAC0009,23804,2023,4,26,0,,N
IDCJAC0009,23804,2023,4,27,11.8,1,N
IDCJAC0009,23804,2023,4,28,2,1,N
IDCJAC0009,23804,2023,4,29,1.8,1,N
IDCJAC0009,23804,2023,4,30,0,1,N
IDCJAC0009,23804,2023,5,1,0.2,1,Y
IDCJAC0009,23804,2023,5,2,1.2,1,Y
IDCJAC0009,23804,2023,5,3,8.2,1,Y
IDCJAC0009,23804,2023,5,4,0,,Y
IDCJAC0009,23804,2023,5,5,0,,Y
IDCJAC0009,23804,2023,5,6,22.6,1,Y
IDCJAC0009,23804,2023,5,7,2.6,1,Y
IDCJAC0009,23804,2023,5,8,2.2,1,Y
IDCJAC0009,23804,2023,5,9,3.4,1,Y
IDCJAC0009,23804,2023,5,10,1,1,Y
IDCJAC0009,23804,2023,5,11,0,1,Y
IDCJAC0009,23804,2023,5,12,0.2,1,Y
IDCJAC0009,23804,2023,5,13,2.6,1,Y
IDCJAC0009,23804,2023,5,14,0,1,Y
IDCJAC0009,23804,2023,5,15,0,1,Y
IDCJAC0009,23804,2023,5,16,0.4,1,Y
IDCJAC0009,23804,2023,5,17,2.4,1,Y
IDCJAC0009,23804,2023,5,18,0,,Y
IDCJAC0009,23804,2023,5,19,1,1,Y
IDCJAC0009,23804,2023,5,20,4.8,1,Y
IDCJAC0009,23804,2023,5,21,2.8,1,Y
IDCJAC0009,23804,2023,5,22,0,,Y
IDCJAC0009,23804,2023,5,23,0,,Y
IDCJAC0009,23804,2023,5,24,0,1,Y
IDCJAC0009,23804,2023,5,25,1.4,1,Y
IDCJAC0009,23804,2023,5,26,5.2,1,Y
IDCJAC0009,23804,2023,5,27,1.2,1,Y
IDCJAC0009,23804,2023,5,28,6.6,1,Y
IDCJAC0009,23804,2023,5,29,0.2,1,Y
IDCJAC0009,23804,2023,5,30,0.4,1,Y
IDCJAC0009,23804,2023,5,31,0.2,1,Y
IDCJAC0009,23804,2023,6,1,1,1,Y
IDCJAC0009,23804,2023,6,2,0,,Y
