Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,23801,2019,1,1,0,1,N
IDCJAC0009,23801,2019,1,2,0,1,N
IDCJAC0009,23801,2019,1,3,0,1,N
IDCJAC0009,23801,2019,1,4,0,1,N
IDCJAC0009,23801,2019,1,5,0,1,N
IDCJAC0009,23801,2019,1,6,0,1,N
IDCJAC0009,23801,2019,1,7,0,1,N
IDCJAC0009,23801,2019,1,8,0,1,N
IDCJAC0009,23801,2019,1,9,0,1,N
IDCJAC0009,23801,2019,1,10,0,1,N
IDCJAC0009,23801,2019,1,11,0,1,N
IDCJAC0009,23801,2019,1,12,0,1,N
IDCJAC0009,23801,2019,1,13,0,1,N
IDCJAC0009,23801,2019,1,14,0,1,N
IDCJAC0009,23801,2019,1,15,0,1,N
IDCJAC0009,23801,2019,1,16,0,1,N
IDCJAC0009,23801,2019,1,17,0,1,N
IDCJAC0009,23801,2019,1,18,0,1,N
IDCJAC0009,23801,2019,1,19,0.2,1,N
IDCJAC0009,23801,2019,1,20,0,1,N
IDCJAC0009,23801,2019,1,21,0,1,N
IDCJAC0009,23801,2019,1,22,0,1,N
IDCJAC0009,23801,2019,1,23,0,1,N
IDCJAC0009,23801,2019,1,24,0,1,N
IDCJAC0009,23801,2019,1,25,0,1,N
IDCJAC0009,23801,2019,1,26,0,1,N
IDCJAC0009,23801,2019,1,27,0,1,N
IDCJAC0009,23801,2019,1,28,0,1,N
IDCJAC0009,23801,2019,1,29,0,1,N
IDCJAC0009,23801,2019,1,30,0,1,N
IDCJAC0009,23801,2019,1,31,0,1,N
IDCJAC0009,23801,2019,2,1,0,1,N
IDCJAC0009,23801,2019,2,2,0,1,N
IDCJAC0009,23801,2019,2,3,0,1,N
IDCJAC0009,23801,2019,2,4,0,1,N
IDCJAC0009,23801,2019,2,5,0,1,N
IDCJAC0009,23801,2019,2,6,2,1,N
IDCJAC0009,23801,2019,2,7,0,1,N
IDCJAC0009,23801,2019,2,8,0.4,1,N
IDCJAC0009,23801,2019,2,9,7,1,N
IDCJAC0009,23801,2019,2,10,0.8,1,N
IDCJAC0009,23801,2019,2,11,0.2,1,N
IDCJAC0009,23801,2019,2,12,3.6,1,N
IDCJAC0009,23801,2019,2,13,0.6,1,N
IDCJAC0009,23801,2019,2,14,0,1,N
IDCJAC0009,23801,2019,2,15,0,1,N
IDCJAC0009,23801,2019,2,16,0,1,N
IDCJAC0009,23801,2019,2,17,0,1,N
IDCJAC0009,23801,2019,2,18,0,1,N
IDCJAC0009,23801,2019,2,19,0,1,N
IDCJAC0009,23801,2019,2,20,0,1,N
IDCJAC0009,23801,2019,2,21,0.4,1,N
IDCJAC0009,23801,2019,2,22,0,1,N
IDCJAC0009,23801,2019,2,23,0,1,N
IDCJAC0009,23801,2019,2,24,0,1,N
IDCJAC0009,23801,2019,2,25,0,1,N
IDCJAC0009,23801,2019,2,26,0,1,N
IDCJAC0009,23801,2019,2,27,0,1,N
IDCJAC0009,23801,2019,2,28,0,1,N
IDCJAC0009,23801,2019,3,1,0,1,N
IDCJAC0009,23801,2019,3,2,0,1,N
IDCJAC0009,23801,2019,3,3,0,1,N
IDCJAC0009,23801,2019,3,4,0,1,N
IDCJAC0009,23801,2019,3,5,0,1,N
IDCJAC0009,23801,2019,3,6,2.2,1,N
IDCJAC0009,23801,2019,3,7,0,1,N
IDCJAC0009,23801,2019,3,8,0,1,N
IDCJAC0009,23801,2019,3,9,0,1,N
IDCJAC0009,23801,2019,3,10,0,1,N
IDCJAC0009,23801,2019,3,11,0,1,N
IDCJAC0009,23801,2019,3,12,0,1,N
IDCJAC0009,23801,2019,3,13,0.2,1,N
IDCJAC0009,23801,2019,3,14,0,1,N
IDCJAC0009,23801,2019,3,15,0,1,N
IDCJAC0009,23801,2019,3,16,0,1,N
IDCJAC0009,23801,2019,3,17,0,1,N
IDCJAC0009,23801,2019,3,18,0,1,N
IDCJAC0009,23801,2019,3,19,0,1,N
IDCJAC0009,23801,2019,3,20,0,1,N
IDCJAC0009,23801,2019,3,21,0,1,N
IDCJAC0009,23801,2019,3,22,0,1,N
IDCJAC0009,23801,2019,3,23,0,1,N
IDCJAC0009,23801,2019,3,24,0,1,N
IDCJAC0009,23801,2019,3,25,4.4,1,N
IDCJAC0009,23801,2019,3,26,3.2,1,N
IDCJAC0009,23801,2019,3,27,0,1,N
IDCJAC0009,23801,2019,3,28,0,1,N
IDCJAC0009,23801,2019,3,29,0,1,N
IDCJAC0009,23801,2019,3,30,1.2,1,N
IDCJAC0009,23801,2019,3,31,1.4,1,N
IDCJAC0009,23801,2019,4,1,0,1,N
IDCJAC0009,23801,2019,4,2,0,1,N
IDCJAC0009,23801,2019,4,3,0,1,N
IDCJAC0009,23801,2019,4,4,0,1,N
IDCJAC0009,23801,2019,4,5,0,1,N
IDCJAC0009,23801,2019,4,6,0,1,N
IDCJAC0009,23801,2019,4,7,0,1,N
IDCJAC0009,23801,2019,4,8,0,1,N
IDCJAC0009,23801,2019,4,9,2.6,1,N
IDCJAC0009,23801,2019,4,10,0,1,N
IDCJAC0009,23801,2019,4,11,0,1,N
IDCJAC0009,23801,2019,4,12,0,1,N
IDCJAC0009,23801,2019,4,13,0,1,N
IDCJAC0009,23801,2019,4,14,1.4,1,N
IDCJAC0009,23801,2019,4,15,0,1,N
IDCJAC0009,23801,2019,4,16,0,1,N
IDCJAC0009,23801,2019,4,17,0.4,1,N
IDCJAC0009,23801,2019,4,18,0,1,N
IDCJAC0009,23801,2019,4,19,0,1,N
IDCJAC0009,23801,2019,4,20,0,1,N
IDCJAC0009,23801,2019,4,21,0,1,N
IDCJAC0009,23801,2019,4,22,0,1,N
IDCJAC0009,23801,2019,4,23,0,1,N
IDCJAC0009,23801,2019,4,24,0.2,1,N
IDCJAC0009,23801,2019,4,25,0,1,N
IDCJAC0009,23801,2019,4,26,1,1,N
IDCJAC0009,23801,2019,4,27,0.2,1,N
IDCJAC0009,23801,2019,4,28,0,1,N
IDCJAC0009,23801,2019,4,29,0,1,N
IDCJAC0009,23801,2019,4,30,0,1,N
IDCJAC0009,23801,2019,5,1,11.8,1,N
IDCJAC0009,23801,2019,5,2,10.6,1,N
IDCJAC0009,23801,2019,5,3,12.4,1,N
IDCJAC0009,23801,2019,5,4,15.4,1,N
IDCJAC0009,23801,2019,5,5,0.2,1,N
IDCJAC0009,23801,2019,5,6,0.2,1,N
IDCJAC0009,23801,2019,5,7,0,1,N
IDCJAC0009,23801,2019,5,8,16.6,1,N
IDCJAC0009,23801,2019,5,9,9.8,1,N
IDCJAC0009,23801,2019,5,10,8.4,1,N
IDCJAC0009,23801,2019,5,11,2.8,1,N
IDCJAC0009,23801,2019,5,12,1.6,1,N
IDCJAC0009,23801,2019,5,13,0,1,N
IDCJAC0009,23801,2019,5,14,0,1,N
IDCJAC0009,23801,2019,5,15,0,1,N
IDCJAC0009,23801,2019,5,16,0.2,1,N
IDCJAC0009,23801,2019,5,17,0,1,N
IDCJAC0009,23801,2019,5,18,0,1,N
IDCJAC0009,23801,2019,5,19,0,1,N
IDCJAC0009,23801,2019,5,20,10.4,1,N
IDCJAC0009,23801,2019,5,21,0,1,N
IDCJAC0009,23801,2019,5,22,0,1,N
IDCJAC0009,23801,2019,5,23,0,1,N
IDCJAC0009,23801,2019,5,24,2,1,N
IDCJAC0009,23801,2019,5,25,0.8,1,N
IDCJAC0009,23801,2019,5,26,10.8,1,N
IDCJAC0009,23801,2019,5,27,20.4,1,N
IDCJAC0009,23801,2019,5,28,6,1,N
IDCJAC0009,23801,2019,5,29,15.8,1,N
IDCJAC0009,23801,2019,5,30,5.8,1,N
IDCJAC0009,23801,2019,5,31,0.4,1,N
IDCJAC0009,23801,2019,6,1,0.2,1,N
IDCJAC0009,23801,2019,6,2,0.4,1,N
IDCJAC0009,23801,2019,6,3,1.4,1,N
IDCJAC0009,23801,2019,6,4,3,1,N
IDCJAC0009,23801,2019,6,5,1.8,1,N
IDCJAC0009,23801,2019,6,6,0,1,N
IDCJAC0009,23801,2019,6,7,0.2,1,N
IDCJAC0009,23801,2019,6,8,0,1,N
IDCJAC0009,23801,2019,6,9,0,1,N
IDCJAC0009,23801,2019,6,10,7,1,N
IDCJAC0009,23801,2019,6,11,0,1,N
IDCJAC0009,23801,2019,6,12,47.2,1,N
IDCJAC0009,23801,2019,6,13,3,1,N
IDCJAC0009,23801,2019,6,14,1.8,1,N
IDCJAC0009,23801,2019,6,15,4.2,1,N
IDCJAC0009,23801,2019,6,16,0.4,1,N
IDCJAC0009,23801,2019,6,17,0,1,N
IDCJAC0009,23801,2019,6,18,9.8,1,N
IDCJAC0009,23801,2019,6,19,1,1,N
IDCJAC0009,23801,2019,6,20,0,1,N
